immowebCode,type,priceString,price,country,province,district,locality,postalCode,street,latitude,longitude,availableDate,neighborhoodOrLocality,constructionYear,floor,numberOfFloors,buildingCondition,numberOfFrontages,outdoorParkingSpaces,surroundingsType,livingArea,livingRoomSurface,kitchenType,kitchenSurface,bedrooms,bedroom1Surface,bedroom2Surface,bathrooms,toilets,basement,furnished,terraceSurface,elevator,disabilityAccess,tvCable,visioPhone,swimmingPool,energyConsumption,energyClass,EPCReportReference,CO2Emission,yearlyEnergyConsumption,heatingType,thermicSolarPanels,doubleGlazing,planningPermission,subdivisionPermit,floodZoneType,landUseDesignation,cadastralIncome,tenementBuilding,streetFrontageWidth,coveredParkingSpaces,basementSurface,monthlyCharges,diningRoom,showerRooms,intercom,bedroom3Surface,armoredDoor,propertyName,laundryRoom,terraceOrientation,caretaker,commonWaterHeater,livingRoom,terrace,attic,bedroom4Surface,officeSurface,office,alarm,eLevel,heatPump,PVSolarPanels,plotSurface,lotWidth,gasWaterElectric,gardenSurface,gardenOrientation,dressingRoom,professionalSpace,sewerConnection,jacuzzi,sauna,buildingType,fireplaces,garden,airConditioning,internet,professionalSpaceSurface,atticSurface,isolated,bedroom5Surface,streetFacing,woodedLand,rearPlot,flatLand
10156372,Apartment,"€395,000",395000.0,Belgium,Brussels,Brussels,Bruxelles,1050.0,Avenue Louise 240,50.83,4.37,None,None,2022,3,3,As new,2,None,"Living area (residential, urban or rural)",107,30,8,None,3,14,9,1,2,0,2,7,2,2,2,2,0,54,B,Not specified,None,None,1,0,2,2,0,0,None,,1,None,1,3,,0,1,0,9,0,Evereast,2,270,2,2,0,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10154682,Apartment,"€965,000",965000.0,Belgium,Brussels,Brussels,Uccle,1180.0,Chaussee de Waterloo 1382,50.79,4.38,March 31 2022 - 12:00 AM,Projets Bruxelles Est,2021,5,8,As new,3,None,"Living area (residential, urban or rural)",137,None,8,None,3,None,None,1,2,0,1,18,2,2,0,2,1,55,B,B,50,None,1,0,2,0,0,1,None,,1,None,1,None,,0,2,2,None,0,None,0,0,0,0,2,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10160243,Apartment,"€230,000",230000.0,Belgium,East Flanders,Gent,Gent,9000.0,Sint-Denijslaan 1,51.03,3.72,February 1 2024 - 12:00 AM,Gent en omstreken,2022,5,6,As new,2,1,Urban,63,38,4,None,1,14,None,1,1,2,1,10,2,2,0,2,1,1,A,Not specified,None,None,0,2,2,2,2,1,"Living area (residential, urban or rural)",€ 11 €,1,None,1,None,,0,None,0,None,0,None,0,0,0,0,0,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10160244,Apartment,"€245,000",245000.0,Belgium,East Flanders,Gent,Gent,9000.0,Sint-Denijslaan 1,51.03,3.72,February 1 2024 - 12:00 AM,Gent en omstreken,2022,5,6,As new,2,1,Urban,63,38,4,None,1,14,None,1,1,2,1,10,2,2,0,2,1,1,A,Not specified,None,None,0,2,2,2,2,1,"Living area (residential, urban or rural)",€ 11 €,1,None,1,None,,0,None,0,None,0,None,0,0,0,0,0,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10160246,Apartment,"€320,000",320000.0,Belgium,East Flanders,Gent,Gent,9000.0,Sint-Denijslaan 1,51.03,3.72,February 1 2024 - 12:00 AM,Gent en omstreken,2022,4,6,As new,2,1,Urban,96,27,4,7,2,15,11,1,1,2,1,16,2,1,2,2,1,1,A,Not specified,None,None,0,2,2,2,2,1,"Living area (residential, urban or rural)",€ 11 €,1,None,None,None,,0,None,2,None,0,None,0,0,0,0,0,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10160242,Apartment,"€390,000",390000.0,Belgium,East Flanders,Gent,Gent,9000.0,Sint-Denijslaan 1,51.03,3.72,February 1 2024 - 12:00 AM,Gent en omstreken,2022,5,6,As new,2,1,Urban,99,34,4,None,2,20,11,1,1,2,1,12,2,1,2,2,1,1,A,Not specified,None,None,0,2,2,2,2,1,"Living area (residential, urban or rural)",€ 11 €,1,None,None,None,,0,None,2,None,0,None,0,0,0,0,0,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10157688,Apartment,"€239,000",342000.0,Belgium,Walloon Brabant,Nivelles,Genappe,1470.0,Grand Place 2,50.61,4.45,December 15 2023 - 12:00 AM,Court-Saint-Etienne,None,None,None,None,None,8,None,None,None,0,None,None,None,None,None,None,0,0,None,0,0,0,0,0,74,A,Not specified,74,None,0,0,0,0,0,3,None,,1,None,None,None,,0,None,0,None,0,None,0,0,0,0,0,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10157770,Apartment,Make,249000.0,Belgium,Flemish Brabant,Halle-Vilvoorde,Grimbergen,1850.0,Brusselsesteenweg 65,50.93,4.36,None,None,2010,2,None,Good,2,None,None,92,37,2,8,2,12,10,1,1,2,1,3,2,0,0,0,0,88,A,20220726-0002645972-RES-1,None,None,1,0,2,2,1,3,Green area,"€ 1,0171017 €",1,None,1,None,,0,None,0,None,0,None,0,0,0,0,0,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10159398,Apartment,"€294,500",565000.0,Belgium,East Flanders,Aalst,Aalst,9300.0,Parklaan 63,50.93,4.04,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None,None,None,None,0,0,None,0,0,0,0,0,0,None,BEN EPB nieuwbouw,None,None,0,0,0,2,1,1,None,,1,None,None,None,,0,None,0,None,0,None,0,0,0,0,0,0,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
10157545,Apartment,"€325,000",325000.0,Belgium,West Flanders,Brugge,Knokke - Heist,8300.0,Albert plein 10,51.35,3.3,December 15 2022 - 12:00 AM,A - ZEEBRUGGE,1967,2,3,As new,2,None,Urban,60,None,4,None,2,None,None,1,1,0,0,None,2,1,0,2,1,99,A,202210010002576698.res.2,1,None,1,0,2,2,0,1,None,€ 730730 €,1,None,None,None,,0,None,2,None,0,None,0,0,0,0,0,2,0,None,None,0,0,None,0,0,None,None,0,None,0,0,0,0,0,0,,None,0,0,,None,None,0,None,0,0,0,0
